,Company,TypeName,Ram,Weight,Touchscreen,Ips,ppi,Cpu brand,HDD,SSD,Gpu brand,Price,os
22,HP,Notebook,4,1.86,0,0,100.4546699,AMD Processor,500,0,AMD,22582.74,Others/No OS/Linux
23,Dell,2 in 1 Convertible,8,1.62,1,0,165.6321181,Intel Core i5,0,256,Intel,71687.07,Windows
24,HP,Ultrabook,8,1.91,0,0,141.2119981,Intel Core i7,0,256,Intel,57682.27,Windows
25,Dell,Notebook,4,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,36643.5592,Windows
26,Apple,Ultrabook,8,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,96195.47,Mac
27,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,70024,Windows
28,Dell,Ultrabook,8,1.88,0,0,141.2119981,Intel Core i7,0,512,Intel,113613.94,Windows
29,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,78426.88,Windows
30,Chuwi,Notebook,4,1.89,0,0,141.2119981,Other Intel Processor,0,0,Intel,21443.9747,Windows
31,Asus,Notebook,2,1.65,0,0,111.9352036,AMD Processor,0,0,AMD,17418.47,Windows
32,HP,Notebook,4,2.71,0,0,127.3356746,AMD Processor,500,0,AMD,38425.67,Windows
33,Dell,Ultrabook,16,1.2,1,0,276.0535301,Intel Core i7,0,512,Intel,163593.57,Windows
34,Apple,Ultrabook,8,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,87354.94,Mac
35,Lenovo,Notebook,4,1.44,0,0,111.9352036,Other Intel Processor,0,0,Intel,21794.97,Windows
36,Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,32123.51,Others/No OS/Linux
37,Dell,Notebook,8,2.8,0,1,127.3356746,Intel Core i5,1000,128,AMD,85691.87,Windows
38,HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i5,1000,0,Intel,42775.0357,Windows
39,HP,Notebook,8,2.1,0,0,141.2119981,Intel Core i5,0,256,Nvidia,76938.87,Windows
40,Asus,Notebook,4,2,0,0,141.2119981,Intel Core i3,1000,0,Intel,34049.17,Others/No OS/Linux
41,Dell,Gaming,16,2.65,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,131207.47,Windows
42,Asus,Notebook,8,2.3,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,45777.3147,Others/No OS/Linux
43,Acer,Notebook,4,2.2,0,1,141.2119981,Intel Core i5,0,256,Intel,59695.46,Windows
44,Dell,2 in 1 Convertible,12,2.77,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,87442.47,Windows
45,Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,124205.07,Mac
46,Lenovo,Notebook,4,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,32298.57,Others/No OS/Linux
47,Asus,Gaming,8,3.2,0,0,127.3356746,AMD Processor,1000,256,AMD,113701.47,Windows
48,Dell,Notebook,4,2.3,0,0,141.2119981,Intel Core i5,0,256,AMD,55931.67,Windows
49,Asus,Notebook,4,2.8,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,40788.98,Windows
50,Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738091,Other Intel Processor,0,0,Intel,27922.07,Others/No OS/Linux
51,Acer,Notebook,8,2.2,0,1,141.2119981,Intel Core i7,0,256,Nvidia,73612.73,Windows
52,HP,Notebook,4,1.86,0,0,141.2119981,AMD Processor,0,256,AMD,34879.8297,Windows
53,HP,Notebook,8,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,96545.59,Windows
54,Acer,Notebook,4,2.4,0,0,100.4546699,Intel Core i3,1000,0,Intel,33611.52,Windows
55,Dell,Notebook,8,2.13,0,0,141.2119981,Intel Core i7,0,256,AMD,67205.534,Windows
56,HP,Notebook,4,1.91,0,0,141.2119981,Intel Core i3,0,128,Intel,38425.67,Windows
57,Asus,Notebook,4,2,0,0,100.4546699,Intel Core i5,0,256,Intel,51309.2107,Windows
58,MSI,Gaming,16,2.43,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,214360.97,Windows
59,Asus,Notebook,4,2,0,0,141.2119981,Intel Core i3,0,256,Intel,36324.95,Others/No OS/Linux
60,Dell,Notebook,16,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,113701.47,Windows
61,Dell,Ultrabook,8,1.7,0,0,157.3505121,Intel Core i5,0,256,Intel,76938.87,Windows
62,Lenovo,Notebook,8,1.7,0,1,157.3505121,Intel Core i3,0,256,Intel,52430.47,Others/No OS/Linux
63,Asus,Notebook,8,1.4,0,0,157.3505121,Intel Core i5,0,256,Intel,82365.73,Windows
64,HP,Notebook,8,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,60395.7,Windows
65,Asus,Ultrabook,16,1.8,0,0,141.2119981,Intel Core i7,0,512,Nvidia,173571.99,Windows
66,HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i3,500,0,AMD,38398.5357,Windows
67,HP,Notebook,4,1.44,0,0,111.9352036,Other Intel Processor,0,32,Intel,20044.37,Windows
68,Lenovo,Notebook,4,1.9,0,0,141.2119981,Intel Core i5,1000,0,Intel,48053.97,Windows
69,Asus,Gaming,12,3,0,0,127.3356746,Intel Core i7,1000,0,Nvidia,83065.97,Others/No OS/Linux
70,Microsoft,Ultrabook,4,1.252,1,0,200.8425599,Intel Core i5,0,128,Intel,95320.17,Windows
71,Dell,Ultrabook,8,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,83591.15,Windows
72,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,76151.1,Windows
73,MSI,Gaming,8,2.7,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,95845.35,Windows
74,Acer,Notebook,8,2.1,0,0,111.9352036,Intel Core i3,1000,0,Intel,34049.17,Windows
75,Asus,Gaming,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,83065.97,Windows
76,Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,2000,0,Intel,45428.07,Others/No OS/Linux
77,Dell,Notebook,8,2.02,0,0,141.2119981,Intel Core i7,1000,128,Intel,74838.15,Windows
78,Acer,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,46390.9,Windows
79,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,85516.81,Windows
80,Dell,Ultrabook,8,1.88,0,1,141.2119981,Intel Core i5,0,256,Intel,95946.8848,Windows
81,Apple,Ultrabook,8,0.92,0,1,226.4155472,Intel Core i5,0,512,Intel,132170.3,Mac
82,HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i5,0,256,Intel,75275.8,Windows
83,Lenovo,Notebook,4,2.2,0,0,141.2119981,AMD Processor,0,128,AMD,34924.47,Windows
84,Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,1000,0,AMD,34574.35,Windows
85,Dell,Gaming,16,2.65,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,118077.97,Windows
86,HP,Ultrabook,8,1.83,0,1,141.2119981,Intel Core i7,0,256,Nvidia,61183.47,Windows
87,HP,Notebook,8,1.96,0,0,141.2119981,Intel Core i5,0,256,Intel,52429.5947,Windows
88,Asus,Gaming,16,2.2,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,126830.97,Windows
89,Dell,Ultrabook,8,1.21,0,1,165.6321181,Intel Core i7,0,256,Intel,144336.97,Windows
90,Asus,Gaming,8,2.45,0,0,141.2119981,AMD Processor,1000,0,AMD,61183.47,Windows
91,Acer,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,60308.17,Windows
92,HP,Notebook,16,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,104773.41,Windows
93,Dell,Gaming,8,2.65,0,0,141.2119981,Intel Core i5,0,256,Nvidia,104598.35,Windows
94,Asus,Ultrabook,8,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,91818.97,Windows
95,Acer,2 in 1 Convertible,8,1.5,1,1,165.6321181,Intel Core i5,0,256,Intel,74137.91,Windows
96,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,AMD,52509.247,Others/No OS/Linux
97,Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,42452.05,Others/No OS/Linux
98,Asus,Notebook,6,2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,50504.81,Windows
99,HP,Gaming,12,2.62,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,109324.97,Windows
100,HP,Notebook,8,1.91,0,0,141.2119981,Intel Core i7,0,256,AMD,62934.07,Windows
101,HP,Notebook,4,2.1,0,0,141.2119981,AMD Processor,500,0,AMD,30547.97,Windows
102,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,1000,0,AMD,56631.91,Others/No OS/Linux
103,HP,Ultrabook,8,1.38,0,1,165.6321181,Intel Core i7,0,256,Nvidia,97946.07,Windows
104,Microsoft,Ultrabook,8,1.252,1,0,200.8425599,Intel Core i5,0,256,Intel,117290.2,Windows
105,HP,Notebook,6,1.58,0,1,157.3505121,Intel Core i5,0,256,Nvidia,57682.27,Windows
106,Lenovo,Notebook,4,1.85,0,0,141.2119981,Intel Core i3,1000,0,Intel,36316.197,Windows
107,Asus,Ultrabook,8,1.3,0,1,157.3505121,Intel Core i7,0,256,Nvidia,104423.29,Windows
108,MSI,Gaming,16,2.2,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,113701.47,Windows
109,Lenovo,Notebook,8,1.58,0,1,157.3505121,Intel Core i7,0,256,Intel,129544.4,Windows
110,Asus,Ultrabook,16,1.5,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,110462.86,Windows
111,Dell,Ultrabook,8,1.23,1,0,276.0535301,Intel Core i7,0,256,Intel,120703.87,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321181,Intel Core i5,0,256,Intel,122454.47,Windows
113,HP,Notebook,4,1.63,0,1,111.9352036,Intel Core i5,500,0,Intel,63196.66,Windows
114,Dell,Ultrabook,8,1.21,0,1,165.6321181,Intel Core i5,0,256,Intel,142586.37,Windows
115,HP,2 in 1 Convertible,8,1.26,1,1,165.6321181,Intel Core i5,0,256,Intel,122453.5947,Windows
116,HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,512,Intel,94882.52,Windows
117,Dell,Notebook,8,2.16,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,98937.7849,Windows
118,Asus,Notebook,4,2,0,0,127.3356746,Intel Core i3,1000,0,Nvidia,49366.92,Windows
119,Asus,Notebook,8,1.7,0,0,141.2119981,Intel Core i7,0,256,Nvidia,97858.54,Windows
120,Acer,Notebook,6,2.1,1,1,141.2119981,Intel Core i3,1000,0,Intel,41926.87,Windows
121,MSI,Gaming,16,1.8,0,0,141.2119981,Intel Core i7,2000,256,Nvidia,196198.495,Windows
122,Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,55056.37,Others/No OS/Linux
123,HP,Notebook,16,2.5,0,0,127.3356746,Intel Core i7,0,512,Nvidia,111250.63,Windows
124,Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,0,256,AMD,39476.03,Windows
125,HP,Notebook,4,1.86,0,0,100.4546699,Other Intel Processor,500,0,Intel,22670.27,Others/No OS/Linux
126,HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i5,1000,0,Intel,71074.36,Windows
127,Asus,Notebook,4,1.65,0,0,111.9352036,AMD Processor,0,64,AMD,24332.4647,Windows
128,Dell,Notebook,16,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,122191.88,Windows
129,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,0,256,Intel,81227.84,Windows
130,Dell,Notebook,8,2.36,0,0,100.4546699,Intel Core i5,1000,0,AMD,55930.7947,Windows
131,Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,1000,0,AMD,39300.97,Windows
132,Acer,Ultrabook,8,1.6,0,1,157.3505121,Intel Core i7,0,256,Intel,77376.52,Windows
133,Acer,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,50067.16,Windows
134,HP,Notebook,8,2.05,0,0,100.4546699,Intel Core i7,1000,0,Intel,52342.94,Windows
135,HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,256,Intel,86479.64,Windows
136,Lenovo,Notebook,4,1.9,0,0,100.4546699,Other Intel Processor,1000,0,Intel,22089.0708,Others/No OS/Linux
137,Asus,Gaming,8,3,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,82103.14,Windows
138,Lenovo,Notebook,4,2.2,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,43677.47,Others/No OS/Linux
139,HP,Notebook,4,1.32,0,1,165.6321181,Intel Core i5,0,256,Intel,61183.47,Windows
140,Acer,Notebook,4,3,0,1,127.3356746,Intel Core i3,1000,0,Nvidia,57332.15,Windows
141,Lenovo,Notebook,8,1.75,0,1,157.3505121,Intel Core i5,0,256,AMD,97685.2306,Windows
142,Lenovo,Gaming,8,2.4,0,1,141.2119981,Intel Core i7,0,256,Nvidia,76063.57,Others/No OS/Linux
143,HP,Notebook,4,2.1,0,0,100.4546699,Intel Core i5,500,0,Intel,52693.06,Windows
144,HP,Notebook,4,1.86,0,0,100.4546699,AMD Processor,0,256,AMD,32298.57,Windows
145,Asus,Ultrabook,8,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,96195.47,Windows
146,HP,Ultrabook,8,0.97,1,1,352.4651472,Other Intel Processor,0,512,Intel,176285.42,Windows
147,Asus,Notebook,4,2,0,0,141.2119981,Other Intel Processor,1000,0,Intel,30110.32,Windows
148,MSI,Gaming,16,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,177598.37,Windows
149,Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,39125.91,Windows
150,Dell,Gaming,16,2.56,0,0,141.2119981,Intel Core i7,0,512,Nvidia,109347.7278,Windows
151,Dell,Gaming,8,2.62,0,0,141.2119981,Intel Core i7,0,0,Nvidia,78689.47,Windows
152,Lenovo,Notebook,4,1.9,0,0,100.4546699,Intel Core i5,0,128,Intel,43589.94,Windows
153,MSI,Gaming,16,2.8,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,165431.7,Windows
154,HP,Ultrabook,4,1.48,0,0,157.3505121,Intel Core i5,0,256,Intel,94707.46,Windows
155,HP,Notebook,6,1.91,0,0,141.2119981,Intel Core i5,0,256,AMD,54181.07,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121,Intel Core i3,0,256,Intel,55056.37,Windows
157,Asus,2 in 1 Convertible,8,1.1,1,0,165.6321181,Intel Core i5,0,256,Intel,115101.95,Windows
158,Dell,2 in 1 Convertible,8,1.56,1,0,141.2119981,Intel Core i7,0,256,Intel,91818.97,Windows
159,HP,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,500,0,Intel,39125.91,Windows
160,Asus,Notebook,4,2.03,0,0,100.4546699,AMD Processor,1000,0,AMD,35274.59,Windows
161,Acer,Notebook,4,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,70461.65,Windows
162,Dell,Notebook,8,2.13,0,0,141.2119981,Intel Core i5,0,256,AMD,63721.84,Windows
163,Lenovo,Gaming,16,2.5,0,1,141.2119981,Intel Core i7,0,256,Nvidia,94444.87,Windows
164,Acer,Notebook,4,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,30460.44,Windows
165,MSI,Gaming,16,2.4,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,157466.47,Windows
166,Acer,Notebook,4,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,31818.0303,Windows
167,Dell,Gaming,8,2.56,0,0,141.2119981,Intel Core i7,1000,128,Nvidia,92824.6897,Windows
168,Acer,Notebook,8,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,74750.62,Windows
169,HP,Notebook,4,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,65997.62,Windows
170,Huawei,Ultrabook,8,1.05,0,1,199.6920706,Intel Core i5,0,256,Intel,118077.97,Windows
171,HP,Notebook,6,2.71,0,1,127.3356746,Intel Core i5,2000,0,AMD,61183.47,Windows
172,Lenovo,Notebook,4,2.2,0,0,100.4546699,AMD Processor,500,0,AMD,27046.77,Others/No OS/Linux
173,HP,Notebook,4,2,0,0,100.4546699,Intel Core i3,500,0,Intel,42802.17,Windows
174,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,0,256,Nvidia,80790.19,Windows
175,Dell,Notebook,8,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,40176.27,Windows
176,Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,0,128,Intel,39300.97,Windows
177,MSI,Gaming,32,4.4,0,0,119.7232158,Intel Core i7,1000,512,Nvidia,244996.47,Windows
178,Lenovo,Notebook,8,1.9,0,0,141.2119981,Intel Core i5,1000,128,AMD,71161.89,Windows
179,HP,2 in 1 Convertible,8,1.29,1,1,331.2642361,Intel Core i5,0,256,Intel,131207.47,Windows
180,Dell,Notebook,16,2.02,0,0,141.2119981,Intel Core i7,2000,256,AMD,91818.97,Others/No OS/Linux
181,Dell,Ultrabook,8,1.23,0,0,165.6321181,Intel Core i5,0,256,Intel,122454.47,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,1,1,316.9650604,Intel Core i7,0,512,Intel,161842.97,Windows
183,HP,Notebook,8,2,0,0,100.4546699,Intel Core i5,0,128,Intel,69411.29,Windows
184,Xiaomi,Notebook,8,1.95,0,1,141.2119981,Intel Core i5,0,256,Nvidia,104948.47,Others/No OS/Linux
185,Dell,Notebook,16,2.77,1,0,127.3356746,Intel Core i7,0,512,Nvidia,135583.97,Windows
186,Dell,Notebook,16,2.06,1,0,282.4239962,Intel Core i7,0,512,Nvidia,209809.41,Windows
187,Lenovo,Gaming,8,2.4,0,1,141.2119981,Intel Core i5,0,256,Nvidia,68185.87,Others/No OS/Linux
188,Acer,Ultrabook,8,1.12,0,1,165.6321181,Intel Core i5,0,256,Intel,86567.17,Windows
189,Dell,Notebook,8,2.8,0,0,127.3356746,Intel Core i7,1000,128,AMD,94970.05,Windows
190,Lenovo,2 in 1 Convertible,16,1.42,1,0,209.8006829,Intel Core i7,0,1000,Intel,247184.72,Windows
191,Vero,Notebook,4,1.3,0,1,157.3505121,Other Intel Processor,0,0,Intel,22757.8,Windows
192,Xiaomi,Ultrabook,8,1.3,0,1,165.6321181,Intel Core i5,0,256,Nvidia,87521.247,Others/No OS/Linux
193,Lenovo,Notebook,8,2.8,0,0,106.1130621,Intel Core i5,0,256,Nvidia,61095.94,Others/No OS/Linux
194,Dell,2 in 1 Convertible,8,1.62,1,1,165.6321181,Intel Core i7,1000,0,Intel,73437.67,Windows
195,HP,Notebook,8,2.5,0,1,127.3356746,Intel Core i5,1000,0,Nvidia,80002.42,Windows
196,Razer,Gaming,32,3.49,1,0,254.6713491,Intel Core i7,0,1000,Nvidia,533845.47,Windows
197,HP,Notebook,8,1.49,0,0,165.6321181,Intel Core i5,0,512,Intel,83941.27,Windows
198,HP,Gaming,16,3.35,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,120703.87,Windows
199,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i7,0,256,Nvidia,91468.85,Windows
200,Dell,Gaming,16,2.65,0,1,282.4239962,Intel Core i7,1000,512,Nvidia,161492.85,Windows
201,Lenovo,Notebook,4,2.1,0,0,100.4546699,Intel Core i5,0,128,Intel,43152.29,Windows
202,Acer,Notebook,8,2.23,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,64947.26,Windows
203,Lenovo,Gaming,16,3.2,0,1,141.2119981,Intel Core i7,1000,512,Nvidia,153089.97,Windows
204,Dell,Workstation,16,2.8,0,0,282.4239962,Other Intel Processor,1000,256,Nvidia,267404.15,Windows
205,Lenovo,Gaming,16,2.4,0,0,141.2119981,Intel Core i7,0,512,Nvidia,122366.94,Others/No OS/Linux
206,Dell,Notebook,6,2.3,1,0,100.4546699,Intel Core i3,1000,0,Intel,38425.67,Windows
207,Dell,Ultrabook,8,1.21,1,1,331.2642361,Intel Core i7,0,256,Intel,170595.97,Windows
208,Dell,Ultrabook,8,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,126830.97,Windows
209,Lenovo,Notebook,8,2.2,0,0,100.4546699,Intel Core i5,0,256,Intel,52255.41,Windows
210,Acer,Notebook,8,2.4,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,68185.87,Others/No OS/Linux
211,Asus,Gaming,16,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,123154.71,Windows
212,HP,Notebook,4,2.1,0,0,141.2119981,Intel Core i3,500,0,Intel,30547.97,Others/No OS/Linux
213,Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,Intel,48053.97,Others/No OS/Linux
214,Huawei,Ultrabook,8,1.05,0,1,199.6920706,Intel Core i7,0,512,Intel,131207.47,Windows
215,Dell,Ultrabook,8,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,81567.4564,Windows
216,Lenovo,Notebook,8,2.8,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,51555.17,Others/No OS/Linux
217,HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,256,Nvidia,90243.43,Windows
218,Dell,Ultrabook,8,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,100571.97,Windows
219,Dell,2 in 1 Convertible,16,1.62,1,0,165.6321181,Intel Core i7,0,512,Intel,111950.87,Windows
220,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,59288.4455,Others/No OS/Linux
221,Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121,Intel Core i5,0,256,Intel,78689.47,Windows
222,HP,Ultrabook,8,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,119303.39,Windows
223,HP,Notebook,8,2.1,0,0,141.2119981,Intel Core i5,1000,0,Intel,69498.82,Windows
224,Dell,Gaming,16,4.42,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,215003.4402,Windows
225,Acer,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,Nvidia,72824.96,Windows
226,Dell,Notebook,16,2.3,1,0,141.2119981,Intel Core i7,1000,0,AMD,75189.1453,Windows
227,Asus,Notebook,8,2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,67310.57,Windows
228,Asus,Notebook,8,2.69,0,0,127.3356746,Intel Core i5,500,256,Nvidia,77989.23,Windows
229,HP,Notebook,8,1.9,0,0,141.2119981,Intel Core i7,1000,0,AMD,111075.57,Windows
230,Asus,Notebook,4,2.37,0,0,100.4546699,Intel Core i3,1000,0,Intel,34923.5947,Windows
231,HP,Notebook,4,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,28884.9,Windows
232,Lenovo,Gaming,16,3.2,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,131207.47,Windows
233,Dell,Notebook,8,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,75188.27,Windows
234,Acer,2 in 1 Convertible,8,1.6,1,1,165.6321181,Intel Core i5,0,256,Intel,60308.17,Windows
235,Dell,Notebook,16,2.36,0,0,141.2119981,Intel Core i7,0,256,AMD,78689.47,Others/No OS/Linux
236,Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,34136.7,Others/No OS/Linux
237,Asus,Notebook,4,2.2,0,0,141.2119981,AMD Processor,1000,128,AMD,50329.75,Windows
238,Asus,Gaming,32,4.7,0,0,127.3356746,Intel Core i7,1000,512,Nvidia,340491.7,Windows
239,Acer,Gaming,8,2.5,0,1,141.2119981,Intel Core i5,0,256,Nvidia,74050.38,Windows
240,Lenovo,Notebook,8,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,51555.17,Windows
241,Asus,Notebook,8,2.1,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,100221.85,Windows
242,Asus,Notebook,8,2.69,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,77814.17,Others/No OS/Linux
243,Dell,Gaming,8,2.56,0,0,141.2119981,Intel Core i5,0,256,Nvidia,76938.87,Windows
244,Lenovo,2 in 1 Convertible,8,1.38,1,1,158.4825302,Intel Core i7,0,256,Intel,94444.87,Windows
245,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,2000,128,AMD,86217.05,Windows
246,HP,Notebook,8,2.04,1,0,100.4546699,Intel Core i5,1000,0,Intel,48929.27,Windows
247,Asus,Gaming,16,3.6,0,0,127.3356746,Intel Core i7,0,256,Nvidia,262502.47,Windows
248,HP,Notebook,4,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,59082.75,Windows
249,Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,512,Intel,178561.2,Mac
250,Dell,2 in 1 Convertible,8,2.08,1,1,141.2119981,Intel Core i7,1000,0,Intel,71687.07,Windows
251,Asus,Gaming,16,4.3,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,157466.47,Windows
